City_ID,City,County_ID
"CTY1","Aberdeen","CNTY100"
"CTY2","Aberdeen","CNTY172"
"CTY3","Aberdeen Proving Ground","CNTY107"
"CTY4","Abingdon","CNTY107"
"CTY5","Acme","CNTY275"
"CTY6","Addy","CNTY250"
"CTY7","Airway Heights","CNTY241"
"CTY8","Alabaster","CNTY233"
"CTY9","Alameda","CNTY3"
"CTY10","Albuquerque","CNTY26"
"CTY11","Alderdale","CNTY138"
"CTY12","Alexandria","CNTY5"
"CTY13","Alexandria","CNTY86"
"CTY14","Algona","CNTY133"
"CTY15","Aliso Viejo","CNTY190"
"CTY16","Allyn","CNTY157"
"CTY17","Almira","CNTY99"
"CTY18","Almira","CNTY146"
"CTY19","Amanda Park","CNTY100"
"CTY20","Amboy","CNTY49"
"CTY21","Amboy","CNTY62"
"CTY22","Anacortes","CNTY236"
"CTY23","Anacortes","CNTY225"
"CTY24","Anaheim","CNTY190"
"CTY25","Anchorage","CNTY8"
"CTY26","Anderson Island","CNTY201"
"CTY27","Ann Arbor","CNTY270"
"CTY28","Annandale","CNTY86"
"CTY29","Annapolis","CNTY9"
"CTY30","Apache Junction","CNTY203"
"CTY31","Appleton","CNTY138"
"CTY32","Arcadia","CNTY148"
"CTY33","Ardenvoir","CNTY43"
"CTY34","Ariel","CNTY62"
"CTY35","Arlington","CNTY238"
"CTY36","Arlington","CNTY11"
"CTY37","Arlington","CNTY234"
"CTY38","Arnold","CNTY9"
"CTY39","Arroyo Grande","CNTY226"
"CTY40","Artondale","CNTY201"
"CTY41","Ashford","CNTY201"
"CTY42","Ashford","CNTY144"
"CTY43","Asotin","CNTY12"
"CTY44","Atlanta","CNTY70"
"CTY45","Auburn","CNTY133"
"CTY46","Auburn","CNTY201"
"CTY47","Augusta","CNTY215"
"CTY48","Austin","CNTY260"
"CTY49","Austin","CNTY277"
"CTY50","Bainbridge Island","CNTY136"
"CTY51","Ballwin","CNTY246"
"CTY52","Baltimore","CNTY15"
"CTY53","Barboursville","CNTY193"
"CTY54","Baring","CNTY133"
"CTY55","Barstow","CNTY221"
"CTY56","Battle Ground","CNTY49"
"CTY57","Bay Center","CNTY196"
"CTY58","Bay Point","CNTY59"
"CTY59","Baytown","CNTY109"
