Geography_ID,Postal Code,City_ID
"GEO1",1030,"CTY297"
"GEO2",1803,"CTY121"
"GEO3",2136,"CTY408"
"GEO4",2139,"CTY130"
"GEO5",2453,"CTY917"
"GEO6",2467,"CTY158"
"GEO7",2468,"CTY909"
"GEO8",2631,"CTY102"
"GEO9",2827,"CTY368"
"GEO10",2840,"CTY596"
"GEO11",2842,"CTY547"
"GEO12",2886,"CTY923"
"GEO13",2909,"CTY707"
"GEO14",3042,"CTY279"
"GEO15",3804,"CTY693"
"GEO16",4412,"CTY100"
"GEO17",6010,"CTY107"
"GEO18",6111,"CTY593"
"GEO19",6335,"CTY333"
"GEO20",6360,"CTY613"
"GEO21",6371,"CTY629"
"GEO22",7029,"CTY383"
"GEO23",7042,"CTY562"
"GEO24",7728,"CTY326"
"GEO25",7874,"CTY831"
"GEO26",8234,"CTY256"
"GEO27",8641,"CTY424"
"GEO28",8759,"CTY511"
"GEO29",10009,"CTY590"
"GEO30",10025,"CTY590"
"GEO31",10029,"CTY590"
"GEO32",10996,"CTY938"
"GEO33",11021,"CTY364"
"GEO34",11209,"CTY108"
"GEO35",11746,"CTY404"
"GEO36",12833,"CTY369"
"GEO37",12866,"CTY776"
"GEO38",13090,"CTY486"
"GEO39",13602,"CTY309"
"GEO40",13603,"CTY928"
"GEO41",14092,"CTY476"
"GEO42",15071,"CTY617"
"GEO43",15074,"CTY738"
"GEO44",15222,"CTY677"
"GEO45",16828,"CTY147"
"GEO46",17268,"CTY930"
"GEO47",18940,"CTY597"
"GEO48",19053,"CTY295"
"GEO49",20001,"CTY924"
"GEO50",20003,"CTY924"
"GEO51",20015,"CTY924"
"GEO52",20037,"CTY924"
"GEO53",20112,"CTY510"
"GEO54",20148,"CTY97"
"GEO55",20152,"CTY148"
"GEO56",20166,"CTY837"
"GEO57",20169,"CTY388"
"GEO58",20171,"CTY392"
"GEO59",20601,"CTY912"
"GEO60",20603,"CTY912"
"GEO61",20619,"CTY125"
"GEO62",20653,"CTY478"
"GEO63",20715,"CTY95"
"GEO64",20723,"CTY470"
"GEO65",20736,"CTY649"
"GEO66",20744,"CTY320"
"GEO67",20755,"CTY310"
"GEO68",20772,"CTY892"
"GEO69",20774,"CTY892"
"GEO70",20814,"CTY81"
"GEO71",20874,"CTY340"
"GEO72",20878,"CTY332"
"GEO73",20882,"CTY332"
"GEO74",21005,"CTY3"
"GEO75",21009,"CTY4"
"GEO76",21010,"CTY374"
"GEO77",21012,"CTY38"
"GEO78",21037,"CTY250"
"GEO79",21042,"CTY266"
"GEO80",21076,"CTY379"
"GEO81",21078,"CTY386"
"GEO82",21114,"CTY207"
"GEO83",21122,"CTY665"
"GEO84",21146,"CTY794"
