VIN (1-10),Model Year,Make,Model,EVType_ID,Eligibility_ID,Electric Range
"1FTVW3LU4S",2025,"FORD","F-150","BEV",2,
"1FTVW3LK5S",2025,"FORD","F-150","BEV",2,
"1FT6W3L79S",2025,"FORD","F-150","BEV",2,
"1FT6W3L73S",2025,"FORD","F-150","BEV",2,
"1FTVW3LU8S",2025,"FORD","F-150","BEV",2,
"1FT6W3L77S",2025,"FORD","F-150","BEV",2,
"1FT6W5L76S",2025,"FORD","F-150","BEV",2,
"1FTVW3LK6S",2025,"FORD","F-150","BEV",2,
"1FT6W7L79S",2025,"FORD","F-150","BEV",2,
"1FT6W5L77S",2025,"FORD","F-150","BEV",2,
"1FT6W5L73S",2025,"FORD","F-150","BEV",2,
"1FT6W3LU4S",2025,"FORD","F-150","BEV",2,
"1FT6W5L70S",2025,"FORD","F-150","BEV",2,
"1FTVW1BK5S",2025,"FORD","F-150","BEV",2,
"1FTVW3LK8S",2025,"FORD","F-150","BEV",2,
"1FT6W5L72S",2025,"FORD","F-150","BEV",2,
"1FTVW1BK2S",2025,"FORD","F-150","BEV",2,
"1FTVW3L76S",2025,"FORD","F-150","BEV",2,
"1FT6W5L71S",2025,"FORD","F-150","BEV",2,
"1FT6W5L78S",2025,"FORD","F-150","BEV",2,
"1FT6W5L74S",2025,"FORD","F-150","BEV",2,
"1FTVW3LK9S",2025,"FORD","F-150","BEV",2,
"1FTVW3LKXS",2025,"FORD","F-150","BEV",2,
"1FT6W3LU1S",2025,"FORD","F-150","BEV",2,
"1FT6W1BM0S",2025,"FORD","F-150","BEV",2,
"1FT6W3LU7S",2025,"FORD","F-150","BEV",2,
"1FTVW3LU0S",2025,"FORD","F-150","BEV",2,
"1FT6W5L79S",2025,"FORD","F-150","BEV",2,
"1FTVW1BK3S",2025,"FORD","F-150","BEV",2,
"1FT6W3LU3S",2025,"FORD","F-150","BEV",2,
"1FT6W3LU0S",2025,"FORD","F-150","BEV",2,
"1FT6W7L76S",2025,"FORD","F-150","BEV",2,
"1FT6W7L72S",2025,"FORD","F-150","BEV",2,
"1FT6W3LU5S",2025,"FORD","F-150","BEV",2,
"1FT6W3L70S",2025,"FORD","F-150","BEV",2,
"1FTVW3L70S",2025,"FORD","F-150","BEV",2,
"1FT6W3LU6S",2025,"FORD","F-150","BEV",2,
"1FT6W3LU8S",2025,"FORD","F-150","BEV",2,
"1FTVW1BK8S",2025,"FORD","F-150","BEV",2,
"1FT6W3LU9S",2025,"FORD","F-150","BEV",2,
"1FT6W3LUXS",2025,"FORD","F-150","BEV",2,
"1FT6W1BM1S",2025,"FORD","F-150","BEV",2,
"1FTVW3LU6S",2025,"FORD","F-150","BEV",2,
"1FTVW1BK4S",2025,"FORD","F-150","BEV",2,
"1FT6W3L78S",2025,"FORD","F-150","BEV",2,
"1FTVW3LK2S",2025,"FORD","F-150","BEV",2,
"1FTVW3LK0S",2025,"FORD","F-150","BEV",2,
"1FTVW3LU1S",2025,"FORD","F-150","BEV",2,
"1FT6W1BM3S",2025,"FORD","F-150","BEV",2,
"1FT6W3L7XS",2025,"FORD","F-150","BEV",2,
"1FTVW3LU5S",2025,"FORD","F-150","BEV",2,
"1FT6W1BM7S",2025,"FORD","F-150","BEV",2,
"1FTVW1BKXS",2025,"FORD","F-150","BEV",2,
"1FTVW3LK3S",2025,"FORD","F-150","BEV",2,
"1FT6W5L7XS",2025,"FORD","F-150","BEV",2,
"1FTVW3L77S",2025,"FORD","F-150","BEV",2,
"1FT6W1B77S",2025,"FORD","F-150","BEV",2,
"1FTVW3LU9S",2025,"FORD","F-150","BEV",2,
"1FT6W7L75S",2025,"FORD","F-150","BEV",2,
"1FTVW3LUXS",2025,"FORD","F-150","BEV",2,
"1FT6W7L71S",2025,"FORD","F-150","BEV",2,
"1FTVW5L70S",2025,"FORD","F-150","BEV",2,
"1FT6W5L75S",2025,"FORD","F-150","BEV",2,
"1FT6W3L76S",2025,"FORD","F-150","BEV",2,
"1FT6W3LU2S",2025,"FORD","F-150","BEV",2,
"1FTVW5L78S",2025,"FORD","F-150","BEV",2,
"1FT6W1BMXS",2025,"FORD","F-150","BEV",2,
"1FT6W7L73S",2025,"FORD","F-150","BEV",2,
"1FT6W7L70S",2025,"FORD","F-150","BEV",2,
"1FT6W1BM2S",2025,"FORD","F-150","BEV",2,
"1FT6W3L71S",2025,"FORD","F-150","BEV",2,
"1FT6W3L72S",2025,"FORD","F-150","BEV",2,
"1FTVW3L71S",2025,"FORD","F-150","BEV",2,
"1FT6W7L78S",2025,"FORD","F-150","BEV",2,
"1FTVW3LK4S",2025,"FORD","F-150","BEV",2,
"1FT6W7L7XS",2025,"FORD","F-150","BEV",2,
"1FT6W3L75S",2025,"FORD","F-150","BEV",2,
"1FTVW1BK9S",2025,"FORD","F-150","BEV",2,
"1FT6W3L74S",2025,"FORD","F-150","BEV",2,
"1FT6W1BM5S",2025,"FORD","F-150","BEV",2,
"1FTVW3LK1S",2025,"FORD","F-150","BEV",2,
"1FTVW1BK6S",2025,"FORD","F-150","BEV",2,
"1FTVW3LK7S",2025,"FORD","F-150","BEV",2,
"1FT6W1BM9S",2025,"FORD","F-150","BEV",2,
"1FT6W7L74S",2025,"FORD","F-150","BEV",2,
"1FT6W1BM6S",2025,"FORD","F-150","BEV",2,
"1FT6W1BU9S",2025,"FORD","F-150","BEV",2,
"1FT6W1BUXS",2025,"FORD","F-150","BEV",2,
"1FT6W1BU0S",2025,"FORD","F-150","BEV",2,
"1FTVW3L79S",2025,"FORD","F-150","BEV",2,
"1FT6W1BU6S",2025,"FORD","F-150","BEV",2,
"1FTVW5L76S",2025,"FORD","F-150","BEV",2,
"1FT6W1BU4S",2025,"FORD","F-150","BEV",2,
"1FTVW1BK0S",2025,"FORD","F-150","BEV",2,
"1FT6W1B70S",2025,"FORD","F-150","BEV",2,
"1FT6W1BU7S",2025,"FORD","F-150","BEV",2,
