VIN (1-10),Geography_ID,DOL Vehicle ID
"5YJ3E1EA9L","GEO638",105014563
"5YJXCAE25L","GEO638",3158228
"5YJ3E1EB6J","GEO638",318096348
"5YJ3E1EB0J","GEO638",475820467
"JN1DF0CD2P","GEO638",237745735
"5YJSA1E56N","GEO638",192707693
"1G1FX6S05P","GEO638",265221386
"YV4ED3UM9P","GEO638",251742333
"5UXTA6C01M","GEO638",261379408
"5UX43EU03T","GEO638",283078435
"7SAYGDEE0N","GEO638",218077737
"5YJYGDEE6L","GEO638",113065697
"WP0AD2Y18N","GEO638",228738051
"5YJ3E1EA8P","GEO638",259783877
"7SAYGDEE5T","GEO638",287252087
"7SAYGDEE9R","GEO638",261639164
"1C4RJYC67P","GEO638",257170637
"7SAYGDED8T","GEO638",287259353
"5YJXCBE23G","GEO638",256613584
"7SAYGDEE6T","GEO638",282847491
"LPSED3KAXN","GEO638",205542032
"KNDRMDJH2S","GEO638",267964882
"7SAYGAEEXP","GEO638",254998068
"WBA33AG03N","GEO638",270873158
"7PDSGBBA4S","GEO638",282441085
"7SAYGDEE1T","GEO638",289246233
"JTJAAAAB0R","GEO638",265566010
"JTDACACU4R","GEO638",276237006
"5UXTA6C03P","GEO638",274078388
"7SAYGDEEXP","GEO638",253482610
"5YJ3E1EB5N","GEO638",195352083
"7YAKMDDCXS","GEO638",285572668
"7JDE23KL9S","GEO638",280439799
"5YJ3E1EBXJ","GEO638",475551842
"5YJ3E1EB9S","GEO638",275101018
"KM8KNDDF8R","GEO638",273157013
"7SAYGDEE0N","GEO638",202154767
"7G2CEHED1R","GEO638",267622533
"7SAYGAEE9P","GEO638",262182847
"KNDJX3AE5G","GEO638",243839872
"7SAYGDEE4P","GEO638",260140618
"3FMTK1SU0R","GEO638",272917480
"50EA1TEA6R","GEO638",272554327
"7SAXCDE59P","GEO638",276616406
"7SAYGDEE6N","GEO638",183087782
"2C4RC1S73M","GEO638",185439782
"KNDCR3L19R","GEO638",271787295
"5YJSA1E24F","GEO638",167652943
"3GN7DLRP0R","GEO638",270189734
"7SAYGAEE1P","GEO638",253295234
"5YJ3E1EA8S","GEO638",280801069
"7SAYGDEE6R","GEO638",275562423
"1FMCU0E19P","GEO638",244880653
"YV4H60RM8S","GEO638",276373240
"5XYC3DJC9S","GEO638",285286060
"7SAXCBE67R","GEO638",269788606
"JTDKARFP7H","GEO638",348993627
"7SAYGDED1S","GEO638",276317464
"5YJ3E1EB0L","GEO638",101391426
"5YJ3E1EA0L","GEO638",107139826
"7PDSGABA1P","GEO638",259926061
"7SAYGDEE6P","GEO638",245820571
"5YJYGAED1M","GEO638",146832710
"7SAYGDEEXT","GEO638",282349406
"7FCTGBAA5R","GEO638",267181946
"WA1VABGE2K","GEO638",204616149
"5YJ3E1EA2S","GEO638",283149324
"KNDCD3LD2L","GEO638",286182221
"3FMTK3SU8S","GEO638",282395690
"5XYAFFS58S","GEO638",282819925
"3FMTK3R73M","GEO638",195282755
"5YJ3E1EB9J","GEO638",475009580
"5YJYGDEE1M","GEO638",161782036
"5YJ3E1EA3N","GEO638",289171620
"5YJSA1E27J","GEO638",326576281
"5YJ3E1EB9J","GEO638",473915900
"3GN7DLRR5S","GEO638",275860420
"7SAYGDEE9T","GEO638",289209833
"JTDKARFP7L","GEO638",154036242
"3FMTK4SE2N","GEO638",241622258
"7SAXCAE52P","GEO638",223630501
"5YJ3E1EA6S","GEO638",286632510
"7SAYGDEE9P","GEO638",261179831
"1N4AZ0CP4F","GEO638",241379561
